id|version|ask|bid|date_scraped|last|open|option_id|stockprice|vol|id|version|name|strike|type
52120|0|NaN|NaN|2013-06-04 17:07:37.186|NaN|NaN|51059|452|NaN|51059|0||NaN|Call
52121|0|NaN|NaN|2013-06-04 17:07:37.307|NaN|NaN|51059|452|NaN|51059|0||NaN|Call
52122|0|254.6|253.15|2013-06-04 17:07:37.312|232.9|1|51062|452|1|51062|0|AAPL130817C00200000|200|Call
52123|0|255.35|252.2|2013-06-04 17:07:37.317|237.15|10|51064|452|10|51064|0|AAPL7130817C00200000|200|Call
52124|0|250.95|247.05|2013-06-04 17:07:37.322|232.15|10|51066|452|10|51066|0|AAPL7130817C00205000|205|Call
52125|0|245.95|242|2013-06-04 17:07:37.327|227.25|11|51068|452|10|51068|0|AAPL7130817C00210000|210|Call
52126|0|240.95|237|2013-06-04 17:07:37.333|221.55|10|51070|452|10|51070|0|AAPL7130817C00215000|215|Call
52127|0|230.85|227.25|2013-06-04 17:07:37.338|212.2|10|51072|452|10|51072|0|AAPL7130817C00225000|225|Call
52128|0|225.25|222.05|2013-06-04 17:07:37.345|207.3|10|51074|452|10|51074|0|AAPL7130817C00230000|230|Call
52129|0|220.2|217.05|2013-06-04 17:07:37.35|201.6|10|51076|452|10|51076|0|AAPL7130817C00235000|235|Call
52130|0|215.45|212.15|2013-06-04 17:07:37.355|192|10|51078|452|10|51078|0|AAPL7130817C00240000|240|Call
52131|0|210.45|207.15|2013-06-04 17:07:37.359|192.15|10|51080|452|10|51080|0|AAPL7130817C00245000|245|Call
52132|0|200.6|197.1|2013-06-04 17:07:37.365|182.2|10|51082|452|10|51082|0|AAPL7130817C00255000|255|Call
52133|0|179.7|178.3|2013-06-04 17:07:37.37|175.31|1|51084|452|1|51084|0|AAPL130817C00275000|275|Call
52134|0|154.7|153.8|2013-06-04 17:07:37.375|147|7|51086|452|1|51086|0|AAPL130817C00300000|300|Call
52135|0|144.85|143.65|2013-06-04 17:07:37.38|150.15|5|51088|452|5|51088|0|AAPL130817C00310000|310|Call
52136|0|125|123.85|2013-06-04 17:07:37.387|97.5|5|51090|452|3|51090|0|AAPL130817C00330000|330|Call
52137|0|120|119.45|2013-06-04 17:07:37.392|113.2|16|51092|452|1|51092|0|AAPL130817C00335000|335|Call
52138|0|114.85|114.25|2013-06-04 17:07:37.397|116.58|22|51094|452|2|51094|0|AAPL130817C00340000|340|Call
52139|0|115.55|112.85|2013-06-04 17:07:37.401|118.2|2|51096|452|2|51096|0|AAPL7130817C00340000|340|Call
52141|0|110.3|109.55|2013-06-04 17:07:37.487|103.5|1|52140|452|1|52140|0|AAPL130817C00345000|345|Call
52142|0|105.4|104.65|2013-06-04 17:07:37.493|94.35|32|51098|452|3|51098|0|AAPL130817C00350000|350|Call
52143|0|105.45|103.1|2013-06-04 17:07:37.499|96.8|12|51100|452|1|51100|0|AAPL7130817C00350000|350|Call
52144|0|100.65|99.45|2013-06-04 17:07:37.505|73.54|1|51102|452|1|51102|0|AAPL130817C00355000|355|Call
52145|0|95.8|94.6|2013-06-04 17:07:37.509|70.2|5|51104|452|3|51104|0|AAPL130817C00360000|360|Call
52146|0|90.6|90.15|2013-06-04 17:07:37.514|79.61|2|51106|452|1|51106|0|AAPL130817C00365000|365|Call
52147|0|90.7|89.35|2013-06-04 17:07:37.519|82.2|17|51108|452|8|51108|0|AAPL7130817C00365000|365|Call
52148|0|86.05|85.4|2013-06-04 17:07:37.524|77.5|19|51110|452|1|51110|0|AAPL130817C00370000|370|Call
52149|0|86.3|83.95|2013-06-04 17:07:37.53|60.75|13|51112|452|13|51112|0|AAPL7130817C00370000|370|Call
52150|0|81.25|80.75|2013-06-04 17:07:37.536|77.75|53|51114|452|10|51114|0|AAPL130817C00375000|375|Call
52151|0|76.8|76.3|2013-06-04 17:07:37.542|78.11|38|51116|452|1|51116|0|AAPL130817C00380000|380|Call
52152|0|77|75.4|2013-06-04 17:07:37.547|67.84|1|51118|452|1|51118|0|AAPL7130817C00380000|380|Call
52153|0|72.75|72.25|2013-06-04 17:07:37.553|70.45|15|51120|452|1|51120|0|AAPL130817C00385000|385|Call
52154|0|72.5|70.15|2013-06-04 17:07:37.559|65|50|51122|452|10|51122|0|AAPL7130817C00385000|385|Call
52155|0|68.35|67.85|2013-06-04 17:07:37.565|66.3|58|51124|452|1|51124|0|AAPL130817C00390000|390|Call
52156|0|68.05|65.7|2013-06-04 17:07:37.57|75.4|19|51126|452|1|51126|0|AAPL7130817C00390000|390|Call
52157|0|63.55|62.8|2013-06-04 17:07:37.576|54.45|161|51128|452|3|51128|0|AAPL130817C00395000|395|Call
52158|0|63.5|62.9|2013-06-04 17:07:37.588|62.15|43|51130|452|9|51130|0|AAPL7130817C00395000|395|Call
